Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Allocation by Asset Class,Data,20230427,0,11513.4,0,97359.15805,108872.558,
Allocation by Asset Class,Data,20230428,0,18493.2,0,94739.04101,113232.241,
Allocation by Asset Class,Data,20230501,0,18471.42,0,93299.19101,111770.611,
Allocation by Asset Class,Data,20230502,0,28409.92,0,86255.17601,114665.096,
Allocation by Asset Class,Data,20230503,0,28311.36,0,86555.14601,114866.506,
Allocation by Asset Class,Data,20230504,0,28212.8,0,85933.60101,114146.401,
Allocation by Asset Class,Data,20230505,0,17886.72,0,102782.3628,120669.0828,
Allocation by Asset Class,Data,20230508,0,17896.32,0,101044.1328,118940.4528,
Allocation by Asset Class,Data,20230509,0,17823.36,0,100822.7878,118646.1478,
Allocation by Asset Class,Data,20230510,0,17859.84,0,158503.9728,176363.8128,
Allocation by Asset Class,Data,20230511,0,17817.6,0,158500.7228,176318.3228,
Allocation by Asset Class,Data,20230512,0,37663.78,0,132886.4378,170550.2178,
Allocation by Asset Class,Data,20230515,0,28513.63,0,144433.3278,172946.9578,
Allocation by Asset Class,Data,20230516,0,28327.43,0,141758.9128,170086.3428,
Allocation by Asset Class,Data,20230517,0,28306.36,0,140933.4728,169239.8328,
Allocation by Asset Class,Data,20230518,0,28253.36,0,133341.8278,161595.1878,
Allocation by Asset Class,Data,20230519,0,12751.25,1015.63,145323.7739,159090.6539,
Allocation by Asset Class,Data,20230522,0,12714.7,1015.63,148553.7339,162284.0639,
Allocation by Asset Class,Data,20230523,0,27193.88,937.5,183917.6439,212049.0239,
Allocation by Asset Class,Data,20230524,0,41424.65,1093.75,163280.8689,205799.2689,
Allocation by Asset Class,Data,20230525,0,41388.95,1718.75,162299.5939,205407.2939,
Allocation by Asset Class,Data,20230526,0,32608.86,2031.25,171579.584,206219.694,
Allocation by Asset Class,Data,20230529,0,32608.86,2031.25,171579.584,206219.694,
Allocation by Asset Class,Data,20230530,1340,51706.16,1328.13,155388.624,209762.914,
Allocation by Asset Class,Data,20230531,1830,61326.85,1093.75,139985.604,204236.204,
Allocation by Asset Class,Data,20230601,1110,51507.32,703.13,168769.9022,222090.3522,
Allocation by Asset Class,Data,20230602,760,49163.2,1015.63,171942.7721,222881.6021,
Allocation by Asset Class,Data,20230605,0,58827.2,0,170523.2221,229350.4221,
Allocation by Asset Class,Data,20230606,0,59120.4,0,171708.4721,230828.8721,
Allocation by Asset Class,Data,20230607,0,116956.65,0,106898.3276,223854.9776,
Allocation by Asset Class,Data,20230608,0,117963.35,0,117953.1326,235916.4826,
Allocation by Asset Class,Data,20230609,0,116799.32,0,140517.2163,257316.5363,
Allocation by Asset Class,Data,20230612,0,129755.42,0,114428.3,244183.72,
Allocation by Asset Class,Data,20230613,0,145816.71,0,160098.735,305915.445,
Allocation by Asset Class,Data,20230614,0,176624.98,0,152415.135,329040.115,
Allocation by Asset Class,Data,20230615,0,146861.66,0,207040.2653,353901.9253,
Allocation by Asset Class,Data,20230616,0,145890.88,0,205968.9153,351859.7953,
Time Period Benchmark Comparison,MetaInfo,Analysis Period,"March 20, 2023 - June 16, 2023",,,,,
Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,U11609999,U11609999Return,,
Time Period Benchmark Comparison,Data,3/20/2023,SPY,0.961563117,U11609999,0,,
Time Period Benchmark Comparison,Data,3/21/2023,SPY,1.31304922,U11609999,0,,
Time Period Benchmark Comparison,Data,3/22/2023,SPY,-1.704645158,U11609999,0,,
Time Period Benchmark Comparison,Data,3/23/2023,SPY,0.270332305,U11609999,0,,
Time Period Benchmark Comparison,Data,3/24/2023,SPY,0.656204695,U11609999,0,,
Time Period Benchmark Comparison,Data,3/27/2023,SPY,0.186986734,U11609999,-6.559483,,
Time Period Benchmark Comparison,Data,3/28/2023,SPY,-0.224469722,U11609999,0,,
Time Period Benchmark Comparison,Data,3/29/2023,SPY,1.453488372,U11609999,0,,
Time Period Benchmark Comparison,Data,3/30/2023,SPY,0.585523857,U11609999,0,,
Time Period Benchmark Comparison,Data,3/31/2023,SPY,1.409462472,U11609999,0,,
Time Period Benchmark Comparison,Data,4/3/2023,SPY,0.38105474,U11609999,0,,
Time Period Benchmark Comparison,Data,4/4/2023,SPY,-0.554812021,U11609999,0.162684913,,
Time Period Benchmark Comparison,Data,4/5/2023,SPY,-0.261824944,U11609999,-1.91884075,,
Time Period Benchmark Comparison,Data,4/6/2023,SPY,0.390088322,U11609999,3.592465341,,
Time Period Benchmark Comparison,Data,4/7/2023,SPY,0,U11609999,0,,
Time Period Benchmark Comparison,Data,4/10/2023,SPY,0.102641805,U11609999,-0.151842197,,
Time Period Benchmark Comparison,Data,4/11/2023,SPY,0.026854813,U11609999,0.000695941,,
Time Period Benchmark Comparison,Data,4/12/2023,SPY,-0.407595431,U11609999,0.829049173,,
Time Period Benchmark Comparison,Data,4/13/2023,SPY,1.328268595,U11609999,3.816322521,,
Time Period Benchmark Comparison,Data,4/14/2023,SPY,-0.244274071,U11609999,-1.863076402,,
Time Period Benchmark Comparison,Data,4/17/2023,SPY,0.358822674,U11609999,-3.550642986,,
Time Period Benchmark Comparison,Data,4/18/2023,SPY,0.065226844,U11609999,1.771942495,,
Time Period Benchmark Comparison,Data,4/19/2023,SPY,-0.01689964,U11609999,-1.698478061,,
Time Period Benchmark Comparison,Data,4/20/2023,SPY,-0.54570918,U11609999,4.031069608,,
Time Period Benchmark Comparison,Data,4/21/2023,SPY,0.077692532,U11609999,-0.131112482,,
Time Period Benchmark Comparison,Data,4/24/2023,SPY,0.104318292,U11609999,3.301568114,,
Time Period Benchmark Comparison,Data,4/25/2023,SPY,-1.587378523,U11609999,-6.816314538,,
Time Period Benchmark Comparison,Data,4/26/2023,SPY,-0.42356186,U11609999,5.693314579,,
Time Period Benchmark Comparison,Data,4/27/2023,SPY,1.990800277,U11609999,6.016937959,,
Time Period Benchmark Comparison,Data,4/28/2023,SPY,0.853519556,U11609999,4.004391045,,
Time Period Benchmark Comparison,Data,5/1/2023,SPY,-0.10097853,U11609999,-1.290824934,,
Time Period Benchmark Comparison,Data,5/2/2023,SPY,-1.123920002,U11609999,2.589665543,,
Time Period Benchmark Comparison,Data,5/3/2023,SPY,-0.686398598,U11609999,0.175650662,,
Time Period Benchmark Comparison,Data,5/4/2023,SPY,-0.708298613,U11609999,-0.626905984,,
Time Period Benchmark Comparison,Data,5/5/2023,SPY,1.851257621,U11609999,5.714312273,,
Time Period Benchmark Comparison,Data,5/8/2023,SPY,0.026658265,U11609999,-1.432537614,,
Time Period Benchmark Comparison,Data,5/9/2023,SPY,-0.438532732,U11609999,-0.247438944,,
Time Period Benchmark Comparison,Data,5/10/2023,SPY,0.467232862,U11609999,4.576247427,,
Time Period Benchmark Comparison,Data,5/11/2023,SPY,-0.174397481,U11609999,-0.025793273,,
Time Period Benchmark Comparison,Data,5/12/2023,SPY,-0.131026618,U11609999,-3.271415533,,
Time Period Benchmark Comparison,Data,5/15/2023,SPY,0.345003523,U11609999,1.405298705,,
Time Period Benchmark Comparison,Data,5/16/2023,SPY,-0.668264691,U11609999,-1.654041815,,
Time Period Benchmark Comparison,Data,5/17/2023,SPY,1.213893967,U11609999,-0.49769428,,
Time Period Benchmark Comparison,Data,5/18/2023,SPY,0.963321533,U11609999,-4.517048305,,
Time Period Benchmark Comparison,Data,5/19/2023,SPY,-0.145504854,U11609999,-1.549881511,,
Time Period Benchmark Comparison,Data,5/22/2023,SPY,0.040609622,U11609999,2.007289506,,
Time Period Benchmark Comparison,Data,5/23/2023,SPY,-1.122280857,U11609999,-0.110719569,,
Time Period Benchmark Comparison,Data,5/24/2023,SPY,-0.724480185,U11609999,-2.94731609,,
Time Period Benchmark Comparison,Data,5/25/2023,SPY,0.865990416,U11609999,-0.190464719,,
Time Period Benchmark Comparison,Data,5/26/2023,SPY,1.29506813,U11609999,0.395506954,,
Time Period Benchmark Comparison,Data,5/29/2023,SPY,0,U11609999,0,,
Time Period Benchmark Comparison,Data,5/30/2023,SPY,0.038093424,U11609999,1.718177314,,
Time Period Benchmark Comparison,Data,5/31/2023,SPY,-0.554524252,U11609999,-2.634741239,,
Time Period Benchmark Comparison,Data,6/1/2023,SPY,0.950101711,U11609999,8.741911482,,
Time Period Benchmark Comparison,Data,6/2/2023,SPY,1.446114456,U11609999,0.356273875,,
Time Period Benchmark Comparison,Data,6/5/2023,SPY,-0.191624603,U11609999,2.902357099,,
Time Period Benchmark Comparison,Data,6/6/2023,SPY,0.2177476,U11609999,0.644624931,,
Time Period Benchmark Comparison,Data,6/7/2023,SPY,-0.345770156,U11609999,-3.021240136,,
Time Period Benchmark Comparison,Data,6/8/2023,SPY,0.604852889,U11609999,5.388088812,,
Time Period Benchmark Comparison,Data,6/9/2023,SPY,0.179432806,U11609999,-1.37973126,,
Time Period Benchmark Comparison,Data,6/12/2023,SPY,0.907187718,U11609999,-5.10375914,,
Time Period Benchmark Comparison,Data,6/13/2023,SPY,0.659289995,U11609999,3.987890628,,
Time Period Benchmark Comparison,Data,6/14/2023,SPY,0.119085788,U11609999,-0.566709722,,
Time Period Benchmark Comparison,Data,6/15/2023,SPY,1.239763942,U11609999,7.555859945,,
Time Period Benchmark Comparison,Data,6/16/2023,SPY,-0.339275418,U11609999,-0.577032747,,
Deposits And Withdrawals,MetaInfo,Analysis Period,"March 20, 2023 - June 16, 2023",,,,,
Deposits And Withdrawals,Header,Date,Type,Description,Amount,,,
Deposits And Withdrawals,Data,3/20/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,100,,,
Deposits And Withdrawals,Data,3/31/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,0.44,,,
Deposits And Withdrawals,Data,3/31/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,0.17,,,
Deposits And Withdrawals,Data,4/3/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,0.24,,,
Deposits And Withdrawals,Data,4/3/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,0.49,,,
Deposits And Withdrawals,Data,4/4/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,7400,,,
Deposits And Withdrawals,Data,4/4/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,2500,,,
Deposits And Withdrawals,Data,4/5/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers (from Jpmorgan Chase ) ,10000,,,
Deposits And Withdrawals,Data,4/6/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,1000,,,
Deposits And Withdrawals,Data,4/10/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,29000,,,
Deposits And Withdrawals,Data,4/27/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,50000,,,
Deposits And Withdrawals,Data,5/10/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,50000,,,
Deposits And Withdrawals,Data,5/23/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,50000,,,
Deposits And Withdrawals,Data,6/9/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,25000,,,
Deposits And Withdrawals,Data,6/13/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,50000,,,
Deposits And Withdrawals,Data,6/14/2023,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,25000,,,
Disclosure,"IMPORTANT NOTE: This portfolio analysis was generated using Interactive Brokers' PortfolioAnalyst tool, which allows Interactive Brokers clients to generate analyses of their accounts using market data provided by third parties along with trade and account data contained in Interactive Brokers' systems. This analysis is for information purposes only and is provided AS IS. Interactive Brokers makes no warranty of any kind, express or implied, as to this report analysis and its contents. The data provided for use in this Portfolio Analysis is believed to be accurate but completeness and accuracy of the information is not guaranteed, and Interactive Brokers has no liability with respect thereto. The data regarding accounts held outside of Interactive Brokers is obtained either directly from you or from the financial institutions holding those accounts through a third-party service provider and Interactive Brokers has not reviewed its accuracy.

This material in this analysis is intended only as a reference and should not be relied upon for the maintenance of your books and records for tax, accounting, financial, or regulatory reporting or for any other purposes. This analysis is not an offer or a solicitation of an offer to buy or sell any security. This material does not and is not intended to take into account the particular financial conditions, investment objectives or requirements of individual customers. Before acting on this material, you should consider whether it is suitable for your particular circumstances and, as necessary, seek professional advice.",,,,,,,
